Sample descriptive name	Sample ID	Study ID	Platform	SRA	Description	Species	Comments	Molecule
P10.5 Miwi2 het Replicate 1 RNA-seq	GSM1547677	GSE63048	GPL13112	SRA	P10.5 whole testis	Mus musculus	"genotype/variation: Miwi2 het;	library type: TruSeq V2;	tissue: whole testis"	polyA RNA
P10.5 Miwi2 het Replicate 2 RNA-seq	GSM1547678	GSE63048	GPL13112	SRA	P10.5 whole testis	Mus musculus	"genotype/variation: Miwi2 het;	library type: TruSeq V2;	tissue: whole testis"	polyA RNA
P10.5 Miwi2 KO Replicate 1 RNA-seq	GSM1547679	GSE63048	GPL13112	SRA	P10.5 whole testis	Mus musculus	"genotype/variation: Miwi2 KO;	library type: TruSeq V2;	tissue: whole testis"	polyA RNA
P10.5 Miwi2 KO Replicate 2 RNA-seq	GSM1547680	GSE63048	GPL13112	SRA	P10.5 whole testis	Mus musculus	"genotype/variation: Miwi2 KO;	library type: TruSeq V2;	tissue: whole testis"	polyA RNA
"LP, 10_6_5_11"	GSM1545535	GSE63310	GPL13112	SRA	CD24+CD29loCD61+ luminal progenitor-enriched mammary cells	Mus musculus	"strain/background: FVB/N;	genotype/variation: wild type;	age: 8 weeks;	gender: virgin female;	tissue: mammary gland;	cell type: CD24+CD29loCD61+ luminal progenitor-enriched cells;	batch: 1"	total RNA
"ML, 9_6_5_11"	GSM1545536	GSE63310	GPL13112	SRA	CD24+CD29loCD61- mature luminal-enriched mammary cells	Mus musculus	"strain/background: FVB/N;	genotype/variation: wild type;	age: 8 weeks;	gender: virgin female;	tissue: mammary gland;	cell type: CD24+CD29loCD61- mature luminal-enriched cells;	batch: 1"	total RNA
"Mammosphere, mo906111-1_m09611-2"	GSM1545537	GSE63310	GPL13112	SRA	CD24+CD29hi MaSC/Basal cell-derived mammosphere cells	Mus musculus	"strain/background: FVB/N;	genotype/variation: wild type;	age: 8 weeks;	gender: virgin female;	tissue: mammary gland;	cell type: cultured CD24+CD29hi basal cell-derived mammosphere cells;	batch: 1"	total RNA
"Basal, purep53"	GSM1545538	GSE63310	GPL13112	SRA	CD24+CD29hi mammary stem cell-enriched basal cells	Mus musculus	"strain/background: FVB/N;	genotype/variation: wild type;	age: 8 weeks;	gender: virgin female;	tissue: mammary gland;	cell type: CD24+CD29hi mammary stem cell-enriched basal cells;	batch: 1"	total RNA
"Basal, JMS8-2"	GSM1545539	GSE63310	GPL13112	SRA	CD24+CD29hi mammary stem cell-enriched basal cells	Mus musculus	"strain/background: FVB/N;	genotype/variation: wild type;	age: 8 weeks;	gender: virgin female;	tissue: mammary gland;	cell type: CD24+CD29hi mammary stem cell-enriched basal cells;	batch: 2"	total RNA
"ML, JMS8-3"	GSM1545540	GSE63310	GPL13112	SRA	CD24+CD29loCD61- mature luminal-enriched mammary cells	Mus musculus	"strain/background: FVB/N;	genotype/variation: wild type;	age: 8 weeks;	gender: virgin female;	tissue: mammary gland;	cell type: CD24+CD29loCD61- mature luminal-enriched cells;	batch: 2"	total RNA
"LP, JMS8-4"	GSM1545541	GSE63310	GPL13112	SRA	CD24+CD29loCD61+ luminal progenitor-enriched mammary cells	Mus musculus	"strain/background: FVB/N;	genotype/variation: wild type;	age: 8 weeks;	gender: virgin female;	tissue: mammary gland;	cell type: CD24+CD29loCD61+ luminal progenitor-enriched cells;	batch: 2"	total RNA
"Basal, JMS8-5"	GSM1545542	GSE63310	GPL13112	SRA	CD24+CD29hi mammary stem cell-enriched basal cells	Mus musculus	"strain/background: FVB/N;	genotype/variation: wild type;	age: 8 weeks;	gender: virgin female;	tissue: mammary gland;	cell type: CD24+CD29hi mammary stem cell-enriched basal cells;	batch: 2"	total RNA
"CommaDB, JMS9-CDBG"	GSM1545543	GSE63310	GPL13112	SRA	"CommaD-beta-geo cells (Deugnier et al., 2006)"	Mus musculus	"strain/background: Balb/c;	genotype/variation: wild type;	age: mid-pregnancy;	tissue: mammary gland;	cell line: CommaD-ë_Geo;	batch: 3"	total RNA
"ML, JMS9-P7c"	GSM1545544	GSE63310	GPL13112	SRA	CD24+CD29loCD61- mature luminal-enriched mammary cells	Mus musculus	"strain/background: FVB/N;	genotype/variation: wild type;	age: 8 weeks;	gender: virgin female;	tissue: mammary gland;	cell type: CD24+CD29loCD61- mature luminal-enriched cells;	batch: 3"	total RNA
"LP, JMS9-P8c"	GSM1545545	GSE63310	GPL13112	SRA	CD24+CD29loCD61+ luminal progenitor-enriched mammary cells	Mus musculus	"strain/background: FVB/N;	genotype/variation: wild type;	age: 8 weeks;	gender: virgin female;	tissue: mammary gland;	cell type: CD24+CD29loCD61+ luminal progenitor-enriched cells;	batch: 3"	total RNA
unsorted replicate 1	GSM1545629	GSE63312	GPL13112	SRA	NRASG12V/Mll-AF9 AML cells	Mus musculus	"strain: (FVB/n X C57/BL/6J) F1;	genotype/variation: NRASG12V/Mll-AF9;	cell type: AML cells;	cell sorting: unsorted"	total RNA
unsorted replicate 2	GSM1545630	GSE63312	GPL13112	SRA	NRASG12V/Mll-AF9 AML cells	Mus musculus	"strain: (FVB/n X C57/BL/6J) F1;	genotype/variation: NRASG12V/Mll-AF9;	cell type: AML cells;	cell sorting: unsorted"	total RNA
unsorted replicate 3	GSM1545631	GSE63312	GPL13112	SRA	NRASG12V/Mll-AF9 AML cells	Mus musculus	"strain: (FVB/n X C57/BL/6J) F1;	genotype/variation: NRASG12V/Mll-AF9;	cell type: AML cells;	cell sorting: unsorted"	total RNA
unsorted replicate 4	GSM1545632	GSE63312	GPL13112	SRA	NRASG12V/Mll-AF9 AML cells	Mus musculus	"strain: (FVB/n X C57/BL/6J) F1;	genotype/variation: NRASG12V/Mll-AF9;	cell type: AML cells;	cell sorting: unsorted"	total RNA
unsorted replicate 5	GSM1545633	GSE63312	GPL13112	SRA	NRASG12V/Mll-AF9 AML cells	Mus musculus	"strain: (FVB/n X C57/BL/6J) F1;	genotype/variation: NRASG12V/Mll-AF9;	cell type: AML cells;	cell sorting: unsorted"	total RNA
MacHigh replicate 1	GSM1545634	GSE63312	GPL13112	SRA	NRASG12V/Mll-AF9 AML cells	Mus musculus	"strain: (FVB/n X C57/BL/6J) F1;	genotype/variation: NRASG12V/Mll-AF9;	cell type: AML cells;	cell sorting: MacHigh"	total RNA
MacHigh replicate 2	GSM1545635	GSE63312	GPL13112	SRA	NRASG12V/Mll-AF9 AML cells	Mus musculus	"strain: (FVB/n X C57/BL/6J) F1;	genotype/variation: NRASG12V/Mll-AF9;	cell type: AML cells;	cell sorting: MacHigh"	total RNA
MacHigh replicate 3	GSM1545636	GSE63312	GPL13112	SRA	NRASG12V/Mll-AF9 AML cells	Mus musculus	"strain: (FVB/n X C57/BL/6J) F1;	genotype/variation: NRASG12V/Mll-AF9;	cell type: AML cells;	cell sorting: MacHigh"	total RNA
MacHigh replicate 4	GSM1545637	GSE63312	GPL13112	SRA	NRASG12V/Mll-AF9 AML cells	Mus musculus	"strain: (FVB/n X C57/BL/6J) F1;	genotype/variation: NRASG12V/Mll-AF9;	cell type: AML cells;	cell sorting: MacHigh"	total RNA
MacHigh replicate 5	GSM1545638	GSE63312	GPL13112	SRA	NRASG12V/Mll-AF9 AML cells	Mus musculus	"strain: (FVB/n X C57/BL/6J) F1;	genotype/variation: NRASG12V/Mll-AF9;	cell type: AML cells;	cell sorting: MacHigh"	total RNA
MacLowKit-Sca1- replicate 1	GSM1545639	GSE63312	GPL13112	SRA	NRASG12V/Mll-AF9 AML cells	Mus musculus	"strain: (FVB/n X C57/BL/6J) F1;	genotype/variation: NRASG12V/Mll-AF9;	cell type: AML cells;	cell sorting: MacLowKit-Sca1-"	total RNA
MacLowKit-Sca1- replicate 2	GSM1545640	GSE63312	GPL13112	SRA	NRASG12V/Mll-AF9 AML cells	Mus musculus	"strain: (FVB/n X C57/BL/6J) F1;	genotype/variation: NRASG12V/Mll-AF9;	cell type: AML cells;	cell sorting: MacLowKit-Sca1-"	total RNA
MacLowKit-Sca1- replicate 3	GSM1545641	GSE63312	GPL13112	SRA	NRASG12V/Mll-AF9 AML cells	Mus musculus	"strain: (FVB/n X C57/BL/6J) F1;	genotype/variation: NRASG12V/Mll-AF9;	cell type: AML cells;	cell sorting: MacLowKit-Sca1-"	total RNA
MacLowKit-Sca1- replicate 4	GSM1545642	GSE63312	GPL13112	SRA	NRASG12V/Mll-AF9 AML cells	Mus musculus	"strain: (FVB/n X C57/BL/6J) F1;	genotype/variation: NRASG12V/Mll-AF9;	cell type: AML cells;	cell sorting: MacLowKit-Sca1-"	total RNA
MacLowKit-Sca1- replicate 5	GSM1545643	GSE63312	GPL13112	SRA	NRASG12V/Mll-AF9 AML cells	Mus musculus	"strain: (FVB/n X C57/BL/6J) F1;	genotype/variation: NRASG12V/Mll-AF9;	cell type: AML cells;	cell sorting: MacLowKit-Sca1-"	total RNA
MacLowKit+Sca1- replicate 1	GSM1545644	GSE63312	GPL13112	SRA	NRASG12V/Mll-AF9 AML cells	Mus musculus	"strain: (FVB/n X C57/BL/6J) F1;	genotype/variation: NRASG12V/Mll-AF9;	cell type: AML cells;	cell sorting: MacLowKit+Sca1-"	total RNA
MacLowKit+Sca1- replicate 2	GSM1545645	GSE63312	GPL13112	SRA	NRASG12V/Mll-AF9 AML cells	Mus musculus	"strain: (FVB/n X C57/BL/6J) F1;	genotype/variation: NRASG12V/Mll-AF9;	cell type: AML cells;	cell sorting: MacLowKit+Sca1-"	total RNA
MacLowKit+Sca1- replicate 3	GSM1545646	GSE63312	GPL13112	SRA	NRASG12V/Mll-AF9 AML cells	Mus musculus	"strain: (FVB/n X C57/BL/6J) F1;	genotype/variation: NRASG12V/Mll-AF9;	cell type: AML cells;	cell sorting: MacLowKit+Sca1-"	total RNA
MacLowKit+Sca1- replicate 4	GSM1545647	GSE63312	GPL13112	SRA	NRASG12V/Mll-AF9 AML cells	Mus musculus	"strain: (FVB/n X C57/BL/6J) F1;	genotype/variation: NRASG12V/Mll-AF9;	cell type: AML cells;	cell sorting: MacLowKit+Sca1-"	total RNA
MacLowKit+Sca1- replicate 5	GSM1545648	GSE63312	GPL13112	SRA	NRASG12V/Mll-AF9 AML cells	Mus musculus	"strain: (FVB/n X C57/BL/6J) F1;	genotype/variation: NRASG12V/Mll-AF9;	cell type: AML cells;	cell sorting: MacLowKit+Sca1-"	total RNA
MacLowKit+Sca1+ replicate 1	GSM1545649	GSE63312	GPL13112	SRA	NRASG12V/Mll-AF9 AML cells	Mus musculus	"strain: (FVB/n X C57/BL/6J) F1;	genotype/variation: NRASG12V/Mll-AF9;	cell type: AML cells;	cell sorting: MacLowKit+Sca1+"	total RNA
MacLowKit+Sca1+ replicate 2	GSM1545650	GSE63312	GPL13112	SRA	NRASG12V/Mll-AF9 AML cells	Mus musculus	"strain: (FVB/n X C57/BL/6J) F1;	genotype/variation: NRASG12V/Mll-AF9;	cell type: AML cells;	cell sorting: MacLowKit+Sca1+"	total RNA
MacLowKit+Sca1+ replicate 3	GSM1545651	GSE63312	GPL13112	SRA	NRASG12V/Mll-AF9 AML cells	Mus musculus	"strain: (FVB/n X C57/BL/6J) F1;	genotype/variation: NRASG12V/Mll-AF9;	cell type: AML cells;	cell sorting: MacLowKit+Sca1+"	total RNA
MacLowKit+Sca1+ replicate 4	GSM1545652	GSE63312	GPL13112	SRA	NRASG12V/Mll-AF9 AML cells	Mus musculus	"strain: (FVB/n X C57/BL/6J) F1;	genotype/variation: NRASG12V/Mll-AF9;	cell type: AML cells;	cell sorting: MacLowKit+Sca1+"	total RNA
CD31+Kit-Ly6aGFP-_EC_01	GSM1545727	GSE63316	GPL13112	SRA	endothelial cells	Mus musculus	"strain: C57BL6;	tissue: aorta-gonad-mesonephros;	genotype: B6.Cg-Tg(Ly6a-EGFP)G5Dzk/J;	cell type: endothelial"	total RNA
CD31+Kit-Ly6aGFP-_EC_02	GSM1545728	GSE63316	GPL13112	SRA	endothelial cells	Mus musculus	"strain: C57BL6;	tissue: aorta-gonad-mesonephros;	genotype: B6.Cg-Tg(Ly6a-EGFP)G5Dzk/J;	cell type: endothelial"	total RNA
CD31+Kit-Ly6aGFP-_EC_03	GSM1545729	GSE63316	GPL13112	SRA	endothelial cells	Mus musculus	"strain: C57BL6;	tissue: aorta-gonad-mesonephros;	genotype: B6.Cg-Tg(Ly6a-EGFP)G5Dzk/J;	cell type: endothelial"	total RNA
CD31+Kit-Ly6aGFP+_HEC_01	GSM1545730	GSE63316	GPL13112	SRA	hemogenic endothelial cells	Mus musculus	"strain: C57BL6;	tissue: aorta-gonad-mesonephros;	genotype: B6.Cg-Tg(Ly6a-EGFP)G5Dzk/J;	cell type: hemogenic endothelial"	total RNA
CD31+Kit-Ly6aGFP+_HEC_02	GSM1545731	GSE63316	GPL13112	SRA	hemogenic endothelial cells	Mus musculus	"strain: C57BL6;	tissue: aorta-gonad-mesonephros;	genotype: B6.Cg-Tg(Ly6a-EGFP)G5Dzk/J;	cell type: hemogenic endothelial"	total RNA
CD31+Kit-Ly6aGFP+_HEC_03	GSM1545732	GSE63316	GPL13112	SRA	hemogenic endothelial cells	Mus musculus	"strain: C57BL6;	tissue: aorta-gonad-mesonephros;	genotype: B6.Cg-Tg(Ly6a-EGFP)G5Dzk/J;	cell type: hemogenic endothelial"	total RNA
CD31+Kit+Ly6aGFP+_HSC_01	GSM1545733	GSE63316	GPL13112	SRA	hematopoietic stem cells	Mus musculus	"strain: C57BL6;	tissue: aorta-gonad-mesonephros;	genotype: B6.Cg-Tg(Ly6a-EGFP)G5Dzk/J;	cell type: hematopoietic stem cell"	total RNA
CD31+Kit+Ly6aGFP+_HSC_02	GSM1545734	GSE63316	GPL13112	SRA	hematopoietic stem cells	Mus musculus	"strain: C57BL6;	tissue: aorta-gonad-mesonephros;	genotype: B6.Cg-Tg(Ly6a-EGFP)G5Dzk/J;	cell type: hematopoietic stem cell"	total RNA
CD31+Kit+Ly6aGFP+_HSC_03	GSM1545735	GSE63316	GPL13112	SRA	hematopoietic stem cells	Mus musculus	"strain: C57BL6;	tissue: aorta-gonad-mesonephros;	genotype: B6.Cg-Tg(Ly6a-EGFP)G5Dzk/J;	cell type: hematopoietic stem cell"	total RNA
CD31+Kit+Ly6aGFP-_HC_01	GSM1545736	GSE63316	GPL13112	SRA	hematopoietic cells	Mus musculus	"strain: C57BL6;	tissue: aorta-gonad-mesonephros;	genotype: B6.Cg-Tg(Ly6a-EGFP)G5Dzk/J;	cell type: hematopoietic"	total RNA
CD31+Kit+Ly6aGFP-_HC_02	GSM1545737	GSE63316	GPL13112	SRA	hematopoietic cells	Mus musculus	"strain: C57BL6;	tissue: aorta-gonad-mesonephros;	genotype: B6.Cg-Tg(Ly6a-EGFP)G5Dzk/J;	cell type: hematopoietic"	total RNA
CD31+Kit+Ly6aGFP-_HC_03	GSM1545738	GSE63316	GPL13112	SRA	hematopoietic cells	Mus musculus	"strain: C57BL6;	tissue: aorta-gonad-mesonephros;	genotype: B6.Cg-Tg(Ly6a-EGFP)G5Dzk/J;	cell type: hematopoietic"	total RNA
DLAF_WT_mES_17_rep1_SR_RUN	GSM1548495	GSE63424	GPL13112	SRA	mouse embryonic stem cells	Mus musculus	growth: cultured in vitro	total RNA
DLAF_WT_mES_17_rep1_PE_RUN	GSM1548496	GSE63424	GPL13112	SRA	mouse embryonic stem cells	Mus musculus	growth: cultured in vitro	total RNA
DLAF_WT_mES_17_rep1_PE_RUN_small	GSM1548497	GSE63424	GPL13112	SRA	mouse embryonic stem cells	Mus musculus	growth: cultured in vitro	total RNA
DLAF_WT_mES_17_rep2_SR_RUN	GSM1548498	GSE63424	GPL13112	SRA	mouse embryonic stem cells	Mus musculus	growth: cultured in vitro	total RNA
DLAF_WT_mES_17_rep2_PE_RUN	GSM1548499	GSE63424	GPL13112	SRA	mouse embryonic stem cells	Mus musculus	growth: cultured in vitro	total RNA
DLAF_WT_mES_17_rep2_PE_RUN_small	GSM1548500	GSE63424	GPL13112	SRA	mouse embryonic stem cells	Mus musculus	growth: cultured in vitro	total RNA
dUTP_WT_mES_17_rep1_SR_RUN	GSM1548501	GSE63424	GPL13112	SRA	mouse embryonic stem cells	Mus musculus	growth: cultured in vitro	total RNA
dUTP_WT_mES_17_rep1_PE_RUN	GSM1548502	GSE63424	GPL13112	SRA	mouse embryonic stem cells	Mus musculus	growth: cultured in vitro	total RNA
dUTP_WT_mES_17_rep2_SR_RUN	GSM1548503	GSE63424	GPL13112	SRA	mouse embryonic stem cells	Mus musculus	growth: cultured in vitro	total RNA
dUTP_WT_mES_17_rep2_PE_RUN	GSM1548504	GSE63424	GPL13112	SRA	mouse embryonic stem cells	Mus musculus	growth: cultured in vitro	total RNA
DLAF_KDM1A_KD_mES_03_rep1_SR_RUN	GSM1548505	GSE63424	GPL13112	SRA	mouse embryonic stem cells	Mus musculus	growth: cultured in vitro	total RNA
DLAF_KDM1A_KD_mES_03_rep1_PE_RUN	GSM1548506	GSE63424	GPL13112	SRA	mouse embryonic stem cells	Mus musculus	growth: cultured in vitro	total RNA
DLAF_KDM1A_KD_mES_03_rep1_PE_RUN_small	GSM1548507	GSE63424	GPL13112	SRA	mouse embryonic stem cells	Mus musculus	growth: cultured in vitro	total RNA
DLAF_KDM1A_KD_mES_03_rep2_SR_RUN	GSM1548508	GSE63424	GPL13112	SRA	mouse embryonic stem cells	Mus musculus	growth: cultured in vitro	total RNA
DLAF_KDM1A_KD_mES_03_rep2_PE_RUN	GSM1548509	GSE63424	GPL13112	SRA	mouse embryonic stem cells	Mus musculus	growth: cultured in vitro	total RNA
DLAF_KDM1A_KD_mES_03_rep2_PE_RUN_small	GSM1548510	GSE63424	GPL13112	SRA	mouse embryonic stem cells	Mus musculus	growth: cultured in vitro	total RNA
dUTP_KDM1A_KD_mES_03_rep1_SR_RUN	GSM1548511	GSE63424	GPL13112	SRA	mouse embryonic stem cells	Mus musculus	growth: cultured in vitro	total RNA
dUTP_KDM1A_KD_mES_03_rep1_PE_RUN	GSM1548512	GSE63424	GPL13112	SRA	mouse embryonic stem cells	Mus musculus	growth: cultured in vitro	total RNA
dUTP_KDM1A_KD_mES_03_rep2_SR_RUN	GSM1548513	GSE63424	GPL13112	SRA	mouse embryonic stem cells	Mus musculus	growth: cultured in vitro	total RNA
dUTP_KDM1A_KD_mES_03_rep2_PE_RUN	GSM1548514	GSE63424	GPL13112	SRA	mouse embryonic stem cells	Mus musculus	growth: cultured in vitro	total RNA
DLAF_WT_mCN_rep1_SR_RUN	GSM1548516	GSE63424	GPL13112	SRA	E16.5 mouse embryonic cortex	Mus musculus	growth: 10 Days in vitro	total RNA
DLAF_mECx_rep1_SR_RUN	GSM1548517	GSE63424	GPL13112	SRA	E16.5 mouse embryonic cortex	Mus musculus	growth: embryo	total RNA
DLAF_mECx_rep2_SR_RUN	GSM1548518	GSE63424	GPL13112	SRA	E16.5 mouse embryonic cortex	Mus musculus	growth: embryo	total RNA
DLAF_mECx_rep3_SR_RUN	GSM1548519	GSE63424	GPL13112	SRA	E16.5 mouse embryonic cortex	Mus musculus	growth: embryo	total RNA
DLAF_mECx_Klenow_low_rep1_SR_RUN	GSM1548520	GSE63424	GPL13112	SRA	E16.5 mouse embryonic cortex	Mus musculus	growth: embryo	total RNA
DLAF_mECx_Klenow_low_rep2_SR_RUN	GSM1548521	GSE63424	GPL13112	SRA	E16.5 mouse embryonic cortex	Mus musculus	growth: embryo	total RNA
DLAF_mECx_Klenow_high_rep1_SR_RUN	GSM1548522	GSE63424	GPL13112	SRA	E16.5 mouse embryonic cortex	Mus musculus	growth: embryo	total RNA
DLAF_mECx_Klenow_high_rep2_SR_RUN	GSM1548523	GSE63424	GPL13112	SRA	E16.5 mouse embryonic cortex	Mus musculus	growth: embryo	total RNA
SSv2_mECx_rep1_SR_RUN	GSM1548524	GSE63424	GPL13112	SRA	E16.5 mouse embryonic cortex	Mus musculus	growth: embryo	total RNA
SSv2_mECx_rep2_SR_RUN	GSM1548525	GSE63424	GPL13112	SRA	E16.5 mouse embryonic cortex	Mus musculus	growth: embryo	total RNA
SSv2_mECx_rep3_SR_RUN	GSM1548526	GSE63424	GPL13112	SRA	E16.5 mouse embryonic cortex	Mus musculus	growth: embryo	total RNA
E15 Sorted callosal projection neurons replicate 1	GSM1551750	GSE63482	GPL17021	SRA	Callosal projection neurons	Mus musculus	"developmental stage: E15;	neuron subtype: CPN;	strain: CD1"	total RNA
E15 Sorted callosal projection neurons replicate 2	GSM1551751	GSE63482	GPL17021	SRA	Callosal projection neurons	Mus musculus	"developmental stage: E15;	neuron subtype: CPN;	strain: CD1"	total RNA
E15 Sorted subcerebral projection neurons replicate 1	GSM1551752	GSE63482	GPL17021	SRA	Subcerebral projection neurons	Mus musculus	"developmental stage: E15;	neuron subtype: Subcereb;	strain: CD1"	total RNA
E15 Sorted subcerebral projection neurons replicate 2	GSM1551753	GSE63482	GPL17021	SRA	Subcerebral projection neurons	Mus musculus	"developmental stage: E15;	neuron subtype: Subcereb;	strain: CD1"	total RNA
E15 Sorted corticothalamic projection neurons replicate 1	GSM1551754	GSE63482	GPL17021	SRA	Corticothalamic projection neurons	Mus musculus	"developmental stage: E15;	neuron subtype: Corticothal;	strain: CD1"	total RNA
E15 Sorted corticothalamic projection neurons replicate 2	GSM1551755	GSE63482	GPL17021	SRA	Corticothalamic projection neurons	Mus musculus	"developmental stage: E15;	neuron subtype: Corticothal;	strain: CD1"	total RNA
E16 Sorted callosal projection neurons replicate 1	GSM1551756	GSE63482	GPL17021	SRA	Callosal projection neurons	Mus musculus	"developmental stage: E16;	neuron subtype: CPN;	strain: CD1"	total RNA
E16 Sorted callosal projection neurons replicate 2	GSM1551757	GSE63482	GPL17021	SRA	Callosal projection neurons	Mus musculus	"developmental stage: E16;	neuron subtype: CPN;	strain: CD1"	total RNA
E16 Sorted subcerebral projection neurons replicate 1	GSM1551758	GSE63482	GPL17021	SRA	Subcerebral projection neurons	Mus musculus	"developmental stage: E16;	neuron subtype: Subcereb;	strain: CD1"	total RNA
E16 Sorted subcerebral projection neurons replicate 2	GSM1551759	GSE63482	GPL17021	SRA	Subcerebral projection neurons	Mus musculus	"developmental stage: E16;	neuron subtype: Subcereb;	strain: CD1"	total RNA
E16 Sorted corticothalamic projection neurons replicate 1	GSM1551760	GSE63482	GPL17021	SRA	Corticothalamic projection neurons	Mus musculus	"developmental stage: E16;	neuron subtype: Corticothal;	strain: CD1"	total RNA
E16 Sorted corticothalamic projection neurons replicate 2	GSM1551761	GSE63482	GPL17021	SRA	Corticothalamic projection neurons	Mus musculus	"developmental stage: E16;	neuron subtype: Corticothal;	strain: CD1"	total RNA
E18 Sorted callosal projection neurons replicate 1	GSM1551762	GSE63482	GPL17021	SRA	Callosal projection neurons	Mus musculus	"developmental stage: E18;	neuron subtype: CPN;	strain: CD1"	total RNA
E18 Sorted callosal projection neurons replicate 2	GSM1551763	GSE63482	GPL17021	SRA	Callosal projection neurons	Mus musculus	"developmental stage: E18;	neuron subtype: CPN;	strain: CD1"	total RNA
E18 Sorted subcerebral projection neurons replicate 1	GSM1551764	GSE63482	GPL17021	SRA	Subcerebral projection neurons	Mus musculus	"developmental stage: E18;	neuron subtype: Subcereb;	strain: CD1"	total RNA
E18 Sorted subcerebral projection neurons replicate 2	GSM1551765	GSE63482	GPL17021	SRA	Subcerebral projection neurons	Mus musculus	"developmental stage: E18;	neuron subtype: Subcereb;	strain: CD1"	total RNA
E18 Sorted corticothalamic projection neurons replicate 1	GSM1551766	GSE63482	GPL17021	SRA	Corticothalamic projection neurons	Mus musculus	"developmental stage: E18;	neuron subtype: Corticothal;	strain: CD1"	total RNA
E18 Sorted corticothalamic projection neurons replicate 2	GSM1551767	GSE63482	GPL17021	SRA	Corticothalamic projection neurons	Mus musculus	"developmental stage: E18;	neuron subtype: Corticothal;	strain: CD1"	total RNA
P1 Sorted callosal projection neurons replicate 1	GSM1551768	GSE63482	GPL17021	SRA	Callosal projection neurons	Mus musculus	"developmental stage: P1;	neuron subtype: CPN;	strain: CD1"	total RNA
P1 Sorted callosal projection neurons replicate 2	GSM1551769	GSE63482	GPL17021	SRA	Callosal projection neurons	Mus musculus	"developmental stage: P1;	neuron subtype: CPN;	strain: CD1"	total RNA
P1 Sorted subcerebral projection neurons replicate 1	GSM1551770	GSE63482	GPL17021	SRA	Subcerebral projection neurons	Mus musculus	"developmental stage: P1;	neuron subtype: Subcereb;	strain: CD1"	total RNA
P1 Sorted subcerebral projection neurons replicate 2	GSM1551771	GSE63482	GPL17021	SRA	Subcerebral projection neurons	Mus musculus	"developmental stage: P1;	neuron subtype: Subcereb;	strain: CD1"	total RNA
P1 Sorted corticothalamic projection neurons replicate 1	GSM1551772	GSE63482	GPL17021	SRA	Corticothalamic projection neurons	Mus musculus	"developmental stage: P1;	neuron subtype: Corticothal;	strain: CD1"	total RNA
P1 Sorted corticothalamic projection neurons replicate 2	GSM1551773	GSE63482	GPL17021	SRA	Corticothalamic projection neurons	Mus musculus	"developmental stage: P1;	neuron subtype: Corticothal;	strain: CD1"	total RNA
Abca4-/- retina 1	GSM1556910	GSE63772	GPL17021	SRA	Retina	Mus musculus	"stain: mixed (129SV and C57BL/6);	age: post natal day 30;	genotype: Abca4-/-"	total RNA
Abca4-/- retina 2	GSM1556911	GSE63772	GPL17021	SRA	Retina	Mus musculus	"stain: mixed (129SV and C57BL/6);	age: post natal day 30;	genotype: Abca4-/-"	total RNA
Abca4-/- retina 3	GSM1556912	GSE63772	GPL17021	SRA	Retina	Mus musculus	"stain: mixed (129SV and C57BL/6);	age: post natal day 30;	genotype: Abca4-/-"	total RNA
Abca4L541P;A1038V/L541P;A1038V retina 1	GSM1556913	GSE63772	GPL17021	SRA	Retina	Mus musculus	"stain: mixed (129SV and C57BL/6);	age: post natal day 30;	genotype: Abca4L541P;A1038V/L541P;A1038V"	total RNA
Abca4L541P;A1038V/L541P;A1038V retina 2	GSM1556914	GSE63772	GPL17021	SRA	Retina	Mus musculus	"stain: mixed (129SV and C57BL/6);	age: post natal day 30;	genotype: Abca4L541P;A1038V/L541P;A1038V"	total RNA
Abca4L541P;A1038V/L541P;A1038V retina 3	GSM1556915	GSE63772	GPL17021	SRA	Retina	Mus musculus	"stain: mixed (129SV and C57BL/6);	age: post natal day 30;	genotype: Abca4L541P;A1038V/L541P;A1038V"	total RNA
WT retina 1	GSM1556916	GSE63772	GPL17021	SRA	Retina	Mus musculus	"stain: mixed (129SV and C57BL/6);	age: post natal day 30;	genotype: wild type"	total RNA
WT retina 2	GSM1556917	GSE63772	GPL17021	SRA	Retina	Mus musculus	"stain: mixed (129SV and C57BL/6);	age: post natal day 30;	genotype: wild type"	total RNA
WT retina 3	GSM1556918	GSE63772	GPL17021	SRA	Retina	Mus musculus	"stain: mixed (129SV and C57BL/6);	age: post natal day 30;	genotype: wild type"	total RNA
Abca4-/- RPE 1	GSM1556919	GSE63772	GPL17021	SRA	RPE/choroid	Mus musculus	"stain: mixed (129SV and C57BL/6);	age: post natal day 30;	genotype: Abca4-/-"	total RNA
Abca4-/- RPE 2	GSM1556920	GSE63772	GPL17021	SRA	RPE/choroid	Mus musculus	"stain: mixed (129SV and C57BL/6);	age: post natal day 30;	genotype: Abca4-/-"	total RNA
Abca4-/- RPE 3	GSM1556921	GSE63772	GPL17021	SRA	RPE/choroid	Mus musculus	"stain: mixed (129SV and C57BL/6);	age: post natal day 30;	genotype: Abca4-/-"	total RNA
Abca4L541P;A1038V/L541P;A1038V RPE 1	GSM1556922	GSE63772	GPL17021	SRA	RPE/choroid	Mus musculus	"stain: mixed (129SV and C57BL/6);	age: post natal day 30;	genotype: Abca4L541P;A1038V/L541P;A1038V"	total RNA
